,SUROESTE2,SUROESTE2,SUROESTE2,SUROESTE2,SUROESTE2,SUROESTE2,SUROESTE2,SUROESTE2,SUROESTE2,SUROESTE2,SUROESTE2,SUROESTE2,SUROESTE2,SUROESTE2,SUROESTE2
,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR
,ppm,ppb,ppb,ppb,ppb,ug/m3,ug/m3,mmhg,mm/hr,%,ppb,KW/m2,DegC,km/hr,Deg
Date,,,,,,,,,,,,,,,
2019-08-27,0.6220833333333333,5.375,17.920833333333334,23.208333333333332,37.541666666666664,72.47826086956522,27.1,712.4250000000001,0.0,58.333333333333336,2.3863636363636367,0.2271666666666667,29.340000000000014,4.709090909090908,109.75
2019-08-28,0.65125,6.922727272727269,17.158333333333335,23.654166666666665,30.291666666666668,78.36363636363636,30.05263157894737,713.7624999999999,0.00375,63.791666666666664,2.3105263157894735,0.163125,27.181666666666672,2.81,89.70833333333333
2019-08-29,0.6900000000000001,8.804166666666665,20.375000000000004,29.04166666666666,27.416666666666668,61.333333333333336,16.347826086956523,713.8874999999999,0.0,55.375,2.8,0.23995833333333336,28.002499999999987,3.51764705882353,99.20833333333333
2019-08-30,0.5758333333333334,8.104166666666666,16.55,24.545833333333334,24.875,63.916666666666664,19.304347826086957,713.6166666666667,0.0,52.916666666666664,2.8047619047619046,0.21945833333333334,28.420833333333334,2.8904761904761904,98.16666666666667
2019-08-31,0.5945833333333335,6.608333333333333,16.570833333333336,23.079166666666666,22.75,74.82608695652173,26.90909090909091,713.6958333333333,0.0,59.0,2.882608695652174,0.19558333333333333,27.90958333333333,2.704166666666667,73.0
2019-09-01,0.4756521739130434,4.869565217391305,12.03478260869565,16.808695652173913,21.52173913043478,47.04347826086956,18.61111111111111,713.9695652173913,0.0,58.08695652173913,2.7954545454545454,0.23595833333333338,26.963478260869568,3.1949999999999994,83.56521739130434
2019-09-02,0.5058333333333334,4.958333333333332,12.595833333333331,17.491666666666664,35.583333333333336,47.40909090909091,11.0,713.9625,0.0,49.166666666666664,2.5727272727272723,0.246,27.817916666666658,2.6277777777777778,107.45833333333333
2019-09-03,0.5695833333333333,6.752173913043479,16.2625,22.73333333333333,24.291666666666668,47.43478260869565,10.714285714285714,713.5708333333336,0.0,53.125,2.5250000000000004,0.15041666666666667,26.86583333333333,1.71304347826087,97.91666666666667
2019-09-04,0.4733333333333334,5.804166666666666,16.383333333333336,22.087500000000002,13.541666666666666,28.217391304347824,8.25,713.7249999999999,0.9408333333333333,82.875,2.0428571428571427,0.002625,20.537916666666664,1.0000000000000002,268.75
2019-09-05,0.5470833333333333,6.529166666666668,17.17083333333333,23.59583333333333,19.541666666666668,33.391304347826086,15.0,714.1833333333335,4.72375,75.66666666666667,1.925,0.12658333333333335,23.669583333333335,1.2950000000000002,158.75
