,NORESTE,NORESTE,NORESTE,NORESTE,NORESTE,NORESTE,NORESTE,NORESTE,NORESTE,NORESTE,NORESTE,NORESTE,NORESTE,NORESTE,NORESTE
,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR
,ppm,ppb,ppb,ppb,ppb,ug/m3,ug/m3,mmhg,mm/hr,%,ppb,KW/m2,DegC,km/hr,Deg
Date,,,,,,,,,,,,,,,
2015-02-23,1.0908333333333333,9.191666666666668,12.345833333333333,21.537499999999998,9.541666666666666,34.625,16.0,726.0458333333331,0.02090909090909091,88.91666666666667,2.422727272727273,0.07385714285714286,8.54375,9.604166666666668,290.3333333333333
2015-02-24,1.1416666666666664,11.762500000000001,15.283333333333333,27.04583333333333,9.916666666666666,36.08695652173913,17.11111111111111,722.5,0.013333333333333334,92.41666666666667,2.8636363636363638,0.0645,4.0683333333333325,7.074999999999999,142.47826086956522
2015-02-25,1.2516666666666667,14.591666666666667,19.974999999999998,34.56666666666667,18.958333333333332,62.791666666666664,22.75,717.2333333333335,,70.16666666666667,4.249999999999999,0.3229285714285714,11.4925,7.766666666666668,136.375
2015-02-26,1.495416666666667,40.091666666666654,26.254166666666663,66.34583333333333,24.875,115.625,26.347826086956523,719.0583333333334,,59.333333333333336,7.337500000000002,0.3835,15.164166666666667,9.054166666666665,153.91666666666666
2015-02-27,1.2575,9.7875,18.291666666666668,28.079166666666662,20.541666666666668,24.333333333333332,13.588235294117647,723.5833333333334,0.02866666666666667,94.70833333333333,2.679166666666667,0.04376470588235294,7.070833333333333,8.891666666666666,100.5
2015-02-28,1.367916666666667,11.987499999999999,20.35,32.3375,11.583333333333334,44.666666666666664,28.846153846153847,723.1583333333332,0.013749999999999997,91.41666666666667,3.233333333333333,0.16041666666666665,7.117083333333333,5.083333333333334,170.75
2015-03-01,1.5125,12.883333333333333,21.841666666666665,34.725,9.083333333333334,76.54166666666667,34.61904761904762,723.3791666666666,0.01,92.45833333333333,8.362499999999999,0.11075,10.24375,3.766666666666666,92.1304347826087
2015-03-02,1.4012499999999999,12.54166666666667,17.691666666666666,30.233333333333334,10.083333333333334,32.541666666666664,16.7,723.7875,0.013333333333333334,95.29166666666667,6.166666666666667,0.032,10.933333333333332,5.766666666666667,85.95833333333333
2015-03-03,1.746666666666667,26.64583333333333,24.31666666666666,50.9625,14.625,91.95833333333333,27.55,717.3583333333332,0.01,86.625,4.108333333333333,0.3078461538461538,15.884166666666667,3.8875000000000006,150.54166666666666
2015-03-04,1.7975,28.991666666666674,25.591666666666658,54.58333333333334,19.416666666666668,155.08333333333334,39.0,714.6833333333334,,82.0,4.1,0.3436666666666666,20.57625,5.191666666666666,203.79166666666666
2015-03-05,1.2108695652173913,6.095652173913043,13.752173913043482,19.847826086956523,18.52173913043478,47.95652173913044,12.818181818181818,728.1130434782607,,74.04347826086956,3.217391304347826,0.15378571428571428,8.468695652173912,12.108695652173912,242.63636363636363
2015-03-06,1.2804166666666665,7.658333333333334,18.829166666666662,26.4875,26.541666666666668,50.375,18.15,730.8208333333332,,61.291666666666664,4.154166666666668,0.14633333333333332,7.582499999999999,7.6875,166.52173913043478
2015-03-07,1.404583333333333,8.529166666666667,21.4375,29.96666666666667,26.083333333333332,62.125,19.15,727.5250000000001,,60.541666666666664,3.025,0.2623333333333333,9.858333333333333,6.4333333333333345,110.375
2015-03-08,1.63,10.3,28.274999999999995,38.57500000000001,18.416666666666668,82.70833333333333,32.23809523809524,722.4666666666666,0.03333333333333333,77.5,6.350000000000001,0.14585714285714282,12.701666666666666,4.658333333333332,118.375
2015-03-09,1.8258333333333328,20.65416666666666,26.566666666666666,47.22083333333334,16.5,87.58333333333333,29.375,717.1916666666665,0.162,82.45833333333333,3.829166666666667,0.17485714285714285,16.861666666666665,6.4125000000000005,147.58333333333334
2015-03-10,1.60125,11.804166666666667,22.154166666666665,33.958333333333336,12.0,47.041666666666664,16.904761904761905,719.7916666666666,0.10727272727272728,91.83333333333333,2.783333333333333,0.04650000000000001,15.760833333333332,5.425000000000001,161.58333333333334
2015-03-11,1.6387499999999997,13.741666666666669,24.466666666666672,38.208333333333336,15.583333333333334,52.208333333333336,16.15,723.1125000000001,0.08000000000000002,84.91666666666667,2.230434782608696,0.1255263157894737,15.323749999999999,4.025,157.25
2015-03-12,1.6191666666666669,19.250000000000004,24.362499999999997,43.61249999999999,25.416666666666668,95.95833333333333,24.625,721.9499999999999,,75.5,4.545833333333333,0.30211764705882355,16.417499999999993,5.316666666666666,179.70833333333334
2015-03-13,2.333333333333334,47.6625,41.645833333333336,89.30833333333335,11.791666666666666,88.08333333333333,30.952380952380953,720.5083333333332,0.036,80.33333333333333,4.370833333333333,0.09411764705882353,15.576666666666663,2.5291666666666663,194.6086956521739
2015-03-14,2.41375,49.77083333333334,44.962499999999984,94.73333333333333,5.708333333333333,,40.52173913043478,722.275,0.025999999999999995,87.20833333333333,2.9125,0.05294444444444445,14.993333333333332,2.7833333333333328,239.375
2015-03-15,1.8329166666666667,13.100000000000001,25.84583333333333,38.94583333333333,15.541666666666666,,23.625,724.7791666666667,0.028333333333333335,88.0,3.8249999999999993,0.05534782608695653,15.180000000000001,5.4375,134.5
2015-03-16,1.6245833333333337,7.329166666666668,19.70416666666667,27.03333333333333,27.625,,24.571428571428573,724.3708333333333,0.0175,88.66666666666667,4.8125,0.07666666666666666,14.925833333333335,4.216666666666668,129.91666666666666
2015-03-17,2.0013043478260872,22.230434782608697,29.22608695652174,51.45652173913044,9.695652173913043,62.333333333333336,32.65,721.9956521739131,0.04266666666666667,93.1304347826087,3.091304347826086,0.21625,16.21,4.221739130434783,143.52173913043478
2015-03-18,2.1004166666666664,26.73333333333333,29.725000000000005,56.45833333333334,11.0,96.375,28.130434782608695,719.5041666666666,0.01,89.33333333333333,3.7409090909090907,0.24509999999999996,18.545000000000005,3.6875000000000018,151.95833333333334
2015-03-19,2.4341666666666666,57.60833333333333,30.22916666666667,87.83749999999998,13.5,199.45833333333334,53.083333333333336,717.8791666666666,,85.04166666666667,5.208333333333333,0.3239166666666667,20.557916666666667,5.016666666666667,138.83333333333334
2015-03-20,1.8412500000000005,13.583333333333336,20.629166666666663,34.2125,14.5,144.08333333333334,48.208333333333336,719.7625000000002,0.045,87.16666666666667,3.6541666666666663,0.17283333333333337,21.454583333333332,4.783333333333332,89.79166666666667
2015-03-21,1.774166666666667,8.279166666666667,18.87916666666667,27.158333333333335,16.416666666666668,41.65217391304348,21.055555555555557,720.3708333333334,0.07250000000000001,89.70833333333333,2.185714285714286,0.10379999999999998,18.68208333333333,5.187500000000001,197.375
2015-03-22,1.725833333333334,6.195833333333334,14.629166666666668,20.825000000000003,24.416666666666668,66.875,27.35,720.4458333333336,,78.375,3.15,0.3799999999999999,22.210833333333337,6.079166666666666,149.75
2015-03-23,1.9804166666666665,25.587500000000002,24.579166666666662,50.166666666666664,24.625,149.58333333333334,28.0,720.7624999999999,,66.91666666666667,4.454166666666668,0.3302941176470588,23.292083333333327,6.95,130.75
2015-03-24,1.7037499999999997,11.049999999999999,21.337500000000002,32.3875,26.291666666666668,100.5,26.954545454545453,718.9333333333334,,63.791666666666664,5.9875,0.285,22.5825,7.408333333333332,166.79166666666666
2015-03-25,1.755,8.233333333333334,17.975,26.20833333333333,22.208333333333332,116.0,40.130434782608695,717.0416666666666,,83.79166666666667,4.1000000000000005,0.3354166666666667,20.73625,6.925000000000001,129.83333333333334
2015-03-26,1.7220833333333336,8.570833333333335,19.229166666666668,27.799999999999997,17.833333333333332,117.625,25.952380952380953,720.0,,71.70833333333333,2.9291666666666667,0.24900000000000005,19.49833333333333,9.908333333333333,296.375
2015-03-27,1.7662500000000003,11.929166666666665,29.341666666666665,41.27083333333333,29.666666666666668,87.0,15.0,724.7625000000002,,43.875,5.745833333333334,0.4214615384615384,19.886666666666667,5.908333333333335,121.0
2015-03-28,1.846666666666667,10.879166666666668,29.587500000000002,40.466666666666676,26.833333333333332,93.08333333333333,26.818181818181817,722.5125000000002,,46.958333333333336,4.945833333333332,0.42753846153846153,20.47833333333333,7.016666666666666,159.125
2015-03-29,1.9816666666666671,10.187499999999998,28.116666666666674,38.30416666666667,30.291666666666668,109.41666666666667,27.565217391304348,720.9374999999999,,60.208333333333336,6.466666666666666,0.3546875,22.812083333333337,7.450000000000002,121.125
2015-03-30,1.8050000000000006,7.729166666666667,18.650000000000002,26.379166666666663,26.916666666666668,97.91666666666667,26.80952380952381,721.0333333333333,,69.75,5.791666666666667,0.4333076923076922,22.79166666666666,8.3,142.54166666666666
2015-03-31,1.8429166666666668,7.070833333333332,15.670833333333334,22.74166666666667,21.958333333333332,96.375,31.869565217391305,719.3749999999999,,80.25,4.229166666666667,0.18466666666666667,21.400000000000002,6.466666666666668,84.5
2015-04-01,1.9291666666666671,8.008333333333333,18.066666666666666,26.075,22.541666666666668,107.33333333333333,38.04545454545455,717.0291666666668,,79.45833333333333,2.8045454545454542,0.3695,22.601249999999997,7.704166666666666,127.125
