,NOROESTE2,NOROESTE2,NOROESTE2,NOROESTE2,NOROESTE2,NOROESTE2,NOROESTE2,NOROESTE2,NOROESTE2,NOROESTE2,NOROESTE2,NOROESTE2,NOROESTE2,NOROESTE2,NOROESTE2
,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR
,ppm,ppb,ppb,ppb,ppb,ug/m3,ug/m3,mmhg,mm/hr,%,ppb,KW/m2,DegC,km/hr,Deg
Date,,,,,,,,,,,,,,,
2018-05-14,0.8108333299557368,,,,,57.333333333333336,,699.1791687011719,0.0,68.375,,0.22879166498993678,26.037916739781696,13.11250009139379,61.208333333333336
2018-05-15,0.8066666647791862,,,,,53.708333333333336,,699.2249959309896,0.0,61.916666666666664,,0.24820833673584275,26.614583333333332,11.54166673620542,63.208333333333336
2018-05-16,0.8066666672627131,,,,,60.5,,699.0500055948893,0.0,57.583333333333336,,0.2656250006742387,27.890833218892414,11.345833331346512,57.458333333333336
2018-05-17,0.8320833295583725,,,,,83.79166666666667,,697.9291737874349,0.0,55.291666666666664,,0.2707499993557576,28.081666707992554,11.495833287636438,62.333333333333336
2018-05-18,0.8083333348234495,,,,,83.83333333333333,,695.3083318074545,0.0,54.375,,0.2657499978959095,26.987916707992554,13.27916661898295,61.25
2018-05-19,0.7733333359162012,,,,,57.708333333333336,,695.5541687011719,0.0,59.5,,0.26500000040202093,25.174999952316284,13.3875000278155,70.91666666666667
2018-05-20,0.78875000278155,,,,,48.208333333333336,,697.8625005086263,0.0,71.54166666666667,,0.13841666419951557,24.507083257039387,13.854166666666666,61.0
2018-05-21,0.7941666717330614,,,,,45.958333333333336,,699.2541656494141,0.0,64.70833333333333,,0.20741666573060988,24.322500069936115,13.641666581233343,78.04166666666667
2018-05-22,0.7304166704416275,,,,,38.083333333333336,,698.8250020345052,0.0,73.41666666666667,,0.21120832996287695,24.578333139419556,14.620833396911621,56.833333333333336
2018-05-23,0.7441666672627131,,,,,31.083333333333332,,699.8875020345052,0.0,79.41666666666667,,0.07995833418196223,22.90458353360494,13.025000055631002,58.958333333333336
2018-05-24,0.7691666608055433,,,,,39.833333333333336,,701.2749989827474,0.0,67.0,,0.21683333446465744,25.730000098546345,11.762500047683716,67.625
2018-05-25,0.8175000001986822,,,,,49.25,,699.7708333333334,0.0,57.041666666666664,,0.2788749984271514,27.974166870117188,9.470833430687586,83.0
2018-05-26,0.890416661898295,,,,,54.583333333333336,,697.5625050862631,0.0,45.916666666666664,,0.2918333325408942,29.55166681607564,8.86250006655852,105.66666666666667
2018-05-27,0.8783333351214727,,,,,57.041666666666664,,696.3708368937174,0.0,38.333333333333336,,0.28841666531419224,30.345000346501667,10.266666695475578,84.16666666666667
2018-05-28,0.830833338201046,,,,,60.75,,696.3166656494141,0.0,45.333333333333336,,0.2825833345220114,29.458750247955322,11.037500043710073,69.20833333333333
2018-05-29,0.8458333412806193,,,,,71.70833333333333,,695.2583312988281,0.0,53.125,,0.27579166782379616,29.18958353996277,11.449999883770943,70.95833333333333
2018-05-30,0.8791666651765505,,,,,92.20833333333333,,695.1500040690104,0.0,60.541666666666664,,0.25150000012945384,28.87416688601176,11.749999870856604,56.333333333333336
2018-05-31,0.8300000006953875,,,,,95.58333333333333,,696.3875071207682,0.0,57.75,,0.2588333280873485,29.30874999364217,12.412499984105429,60.625
2018-06-01,0.870869561381962,,,,,106.65217391304348,,697.6565233313519,0.0,52.08695652173913,,0.26347826380262396,30.10782598412555,12.152174099631932,72.91304347826087
2018-06-02,0.8716666599114736,,,,,89.20833333333333,,698.4125035603842,0.0,48.916666666666664,,0.27845833330259967,31.394999980926514,11.879166613022486,89.125
2018-06-03,0.7795833349227905,,,,,91.04166666666667,,700.4583384195963,0.0,48.541666666666664,,0.2790833366210184,30.355833292007446,13.116666615009308,69.79166666666667
