,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE
,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR
,ppm,ppb,ppb,ppb,ppb,ug/m3,ug/m3,mmhg,mm/hr,%,ppb,KW/m2,DegC,km/hr,Deg
Date,,,,,,,,,,,,,,,
2015-03-23,0.4304166666666667,4.945833333333333,5.6875,10.633333333333335,30.958333333333332,111.54166666666667,20.166666666666668,714.1625,,59.916666666666664,5.508333333333333,0.4500769230769232,23.4325,11.195833333333333,189.66666666666666
2015-03-24,0.3712499999999999,5.441666666666667,5.883333333333333,11.325000000000001,30.458333333333332,103.16666666666667,17.083333333333332,712.2958333333335,,61.041666666666664,6.258333333333334,0.45307692307692304,22.705000000000002,9.275000000000002,201.91666666666666
2015-03-25,0.5670833333333333,4.720833333333334,5.983333333333333,10.704166666666667,25.875,125.875,39.333333333333336,710.3416666666667,,78.16666666666667,5.745833333333333,0.3696923076923077,21.480833333333326,8.170833333333333,197.29166666666666
2015-03-26,0.4233333333333334,4.408333333333332,5.5625,9.970833333333333,18.666666666666668,117.54166666666667,24.727272727272727,713.2541666666666,,68.54166666666667,4.854166666666667,0.20638461538461536,20.141250000000003,10.304166666666665,168.875
2015-03-27,0.3733333333333333,3.9666666666666663,6.479166666666667,10.445833333333333,5.428571428571429,65.95833333333333,12.857142857142858,718.0208333333335,,38.833333333333336,6.516666666666667,0.42721428571428577,20.064166666666665,8.2125,123.91666666666667
2015-03-28,0.7291666666666666,7.470833333333332,8.2875,15.758333333333333,,124.54166666666667,23.5,715.8041666666667,,43.75,5.395833333333332,0.43092857142857144,20.835833333333337,7.845833333333332,203.04166666666666
2015-03-29,0.5458333333333335,5.154166666666667,6.170833333333334,11.325000000000001,,104.16666666666667,22.73913043478261,714.2625000000002,,52.208333333333336,5.591666666666668,0.44200000000000006,23.625833333333333,10.266666666666666,201.5
2015-03-30,0.5612499999999999,5.466666666666666,5.258333333333334,10.725,,118.25,22.625,714.3041666666668,,63.875,6.3999999999999995,0.43464285714285716,23.284166666666664,11.733333333333333,194.83333333333334
2015-03-31,0.38625,4.122727272727273,4.004545454545455,8.127272727272729,,93.25,27.291666666666668,712.6791666666664,,75.58333333333333,4.995833333333334,0.22414285714285714,21.533749999999998,8.200000000000001,119.0
2015-04-01,0.4229166666666666,4.579166666666667,4.579166666666666,9.158333333333333,,104.95833333333333,35.69565217391305,710.3666666666667,,73.16666666666667,4.2,0.40114285714285713,23.04416666666667,8.891666666666667,172.33333333333334
