,SURESTE,SURESTE,SURESTE,SURESTE,SURESTE,SURESTE,SURESTE,SURESTE,SURESTE,SURESTE,SURESTE,SURESTE,SURESTE,SURESTE,SURESTE
,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR
,ppm,ppb,ppb,ppb,ppb,ug/m3,ug/m3,mmhg,mm/hr,%,ppb,KW/m2,DegC,km/hr,Deg
Date,,,,,,,,,,,,,,,
2019-06-17,,,,,27.083333333333332,43.875,18.89625,723.8375000000001,0.0,62.416666666666664,,0.18879166666666666,29.789999999999996,15.454166666666667,
2019-06-18,,,,,30.208333333333332,45.75,19.727916666666673,724.8708333333333,0.0,60.166666666666664,3.533333333333333,0.19512499999999997,29.56166666666667,14.391666666666666,
2019-06-19,,,,,38.958333333333336,63.125,19.3875,723.7333333333335,0.0,58.916666666666664,3.8523809523809525,0.12562500000000001,30.343749999999996,12.108333333333333,
2019-06-20,,,,,46.291666666666664,58.666666666666664,17.12875,722.7249999999999,0.0,42.0,4.604166666666667,0.18679166666666666,33.02333333333333,12.333333333333334,
2019-06-21,,,,,35.0,59.708333333333336,22.705833333333334,722.3291666666668,0.0,60.125,3.5238095238095233,0.1277916666666667,30.087083333333336,15.158333333333333,
2019-06-22,,,,,37.875,41.166666666666664,16.285000000000004,723.1458333333334,0.0,58.083333333333336,3.495,0.1668333333333333,29.812500000000004,11.3375,
2019-06-23,,,,,47.375,39.375,17.453333333333333,722.6374999999999,0.0,53.791666666666664,3.6823529411764704,0.19862499999999997,30.93083333333333,13.304166666666665,
2019-06-24,,,,,33.458333333333336,54.416666666666664,20.739583333333332,722.7041666666668,0.0075,63.625,3.5391304347826082,0.16120833333333337,29.56625,15.291666666666666,
2019-06-25,,,,,32.391304347826086,11.5,4.788260869565217,725.7416666666668,0.0008333333333333334,73.58333333333333,3.5789473684210527,0.09745833333333336,24.9425,12.762500000000001,
2019-06-26,,,,,27.869565217391305,26.0,12.06666666666667,727.0958333333334,0.005,69.16666666666667,3.5333333333333337,0.19162499999999996,27.57791666666667,18.17083333333333,
2019-06-27,,,,,23.833333333333332,48.666666666666664,17.86434782608696,728.6,0.0,64.875,3.59,0.19908333333333336,28.15043478260869,20.212500000000002,
2019-06-28,,,,,23.105263157894736,36.05263157894737,14.66909090909091,728.8631578947368,0.0010526315789473684,63.68421052631579,3.5416666666666665,0.26305263157894737,27.634210526315787,20.810526315789474,
